,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
0,Economy Class,2,3,3,3,1,1,1,0
1,Business Class,3,4,3,3,1,1,1,0
2,Economy Class,2,2,2,2,1,1,1,0
3,Premium Economy,4,1,1,3,1,1,1,0
4,Premium Economy,3,5,4,3,1,4,1,0
5,Business Class,4,4,5,3,1,4,4,1
6,Business Class,1,1,1,1,1,1,1,0
7,Economy Class,2,5,4,4,3,5,1,1
8,Business Class,5,5,3,3,5,3,3,0
9,Premium Economy,3,4,3,3,3,3,1,1
10,Business Class,2,1,1,3,2,1,1,0
11,Business Class,1,4,3,3,2,3,1,0
12,Economy Class,3,2,1,3,3,2,1,0
13,Economy Class,1,1,1,3,1,1,1,0
14,Business Class,3,5,5,3,4,3,1,1
15,Economy Class,2,1,2,2,3,2,1,0
16,Business Class,3,4,4,3,3,3,1,1
17,Economy Class,4,4,4,4,4,4,1,1
18,Economy Class,2,3,3,4,1,1,1,0
19,Premium Economy,3,2,1,3,4,2,1,0
20,Economy Class,1,1,1,1,1,1,1,0
21,Business Class,4,2,1,4,1,1,1,0
22,Economy Class,2,5,2,2,2,1,2,0
23,Economy Class,1,3,3,1,2,3,1,1
24,Business Class,3,3,3,2,1,1,2,0
25,Economy Class,5,5,3,3,1,1,1,0
26,Economy Class,3,4,3,3,1,1,1,0
27,Economy Class,2,1,1,3,3,3,1,0
28,Business Class,3,1,1,2,1,1,1,0
29,Business Class,5,4,5,5,3,5,5,1
30,Business Class,3,5,5,3,4,5,5,1
31,Economy Class,1,2,1,1,2,2,1,0
32,Business Class,5,4,4,5,5,4,5,1
33,Business Class,3,1,1,4,3,1,1,0
34,Economy Class,3,5,5,3,2,5,1,1
35,Economy Class,1,1,3,3,1,1,5,0
36,Economy Class,2,2,1,3,4,1,1,0
37,Economy Class,3,4,3,4,4,4,1,1
38,Business Class,5,5,3,2,4,3,1,1
39,Business Class,4,4,4,2,4,3,2,1
40,Economy Class,1,1,1,3,4,1,1,0
41,Business Class,5,5,5,5,5,4,4,1
42,Economy Class,2,4,1,3,3,1,2,0
43,Economy Class,2,4,2,4,4,3,1,1
44,Business Class,4,4,4,3,3,4,1,1
45,Business Class,4,5,4,3,3,4,1,1
46,Business Class,1,3,2,1,3,2,1,0
47,Business Class,5,4,4,4,5,5,1,1
48,Economy Class,2,2,3,3,1,1,1,0
49,Premium Economy,5,5,5,5,5,5,5,1
50,Economy Class,5,5,5,5,5,5,5,1
51,Economy Class,1,3,2,5,4,2,5,1
52,Economy Class,4,5,1,3,3,3,1,1
53,Business Class,1,1,1,3,1,1,1,0
54,Economy Class,4,1,2,1,1,1,1,0
55,Economy Class,4,4,3,3,1,2,1,0
56,Business Class,3,5,5,1,4,3,1,1
57,Economy Class,3,4,3,3,3,1,1,0
58,Economy Class,3,2,1,2,4,3,1,0
59,Premium Economy,2,1,2,3,1,1,1,0
60,Economy Class,3,5,4,3,2,4,1,1
