,Date Flown,Aircraft,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
0,December 2022,A320,Solo Leisure,Economy Class,2,3,NaN,NaN,1,1,NaN,no
1,October 2022,NaN,Business,Business Class,3,4,3,NaN,1,1,NaN,no
2,December 2022,NaN,Solo Leisure,Economy Class,2,2,2,2,1,1,NaN,no
3,November 2022,NaN,Couple Leisure,Premium Economy,4,1,1,3,1,1,NaN,no
4,December 2022,NaN,Solo Leisure,Premium Economy,3,5,4,3,1,4,NaN,no
5,December 2022,A321,Business,Business Class,4,4,5,NaN,1,4,4,yes
6,December 2022,Boeing 777,Couple Leisure,Business Class,1,1,1,1,1,1,NaN,no
7,November 2022,Boeing 777-200,Solo Leisure,Economy Class,2,5,4,4,3,5,NaN,yes
8,December 2022,A320,Business,Business Class,5,5,3,3,5,3,3,no
9,December 2022,Boeing 777,Couple Leisure,Premium Economy,3,4,3,NaN,3,3,NaN,yes
10,November 2022,A320,Solo Leisure,Business Class,2,1,1,NaN,2,1,NaN,no
11,December 2022,NaN,Business,Business Class,1,NaN,NaN,NaN,2,3,NaN,no
12,December 2022,NaN,Family Leisure,Economy Class,3,2,1,NaN,3,2,NaN,no
13,December 2022,Boeing 787-9,Business,Economy Class,1,1,1,3,1,1,NaN,no
14,June 2022,A320,Solo Leisure,Business Class,3,5,5,NaN,4,3,NaN,yes
15,November 2022,A380,Solo Leisure,Economy Class,2,1,2,2,3,2,1,no
16,November 2022,A320,Solo Leisure,Business Class,3,4,4,NaN,3,3,NaN,yes
17,January 2022,Boeing 787 / A320,Solo Leisure,Economy Class,4,4,4,4,4,4,NaN,yes
18,November 2022,NaN,Solo Leisure,Economy Class,2,3,3,4,1,1,NaN,no
19,November 2022,NaN,Solo Leisure,Premium Economy,3,2,1,NaN,4,2,NaN,no
20,August 2022,NaN,Solo Leisure,Economy Class,1,1,1,1,1,1,1,no
21,November 2022,Boeing 777,Solo Leisure,Business Class,4,2,1,4,1,1,NaN,no
22,November 2022,NaN,Solo Leisure,Economy Class,2,5,2,2,2,1,2,no
23,November 2022,Boeing 787-8,Solo Leisure,Economy Class,1,3,3,1,2,3,NaN,yes
24,October 2022,NaN,Couple Leisure,Business Class,3,3,3,2,1,1,2,no
25,July 2022,NaN,Couple Leisure,Economy Class,5,5,NaN,NaN,1,1,NaN,no
26,October 2022,NaN,Solo Leisure,Economy Class,NaN,NaN,NaN,NaN,1,1,NaN,no
27,October 2022,A320,Solo Leisure,Economy Class,2,1,1,NaN,3,3,NaN,no
28,October 2022,Boeing 777,Solo Leisure,Business Class,3,1,1,2,1,1,1,no
29,October 2022,A350-1000,Solo Leisure,Business Class,5,4,5,5,3,5,5,yes
30,October 2022,A320,Solo Leisure,Business Class,3,5,5,NaN,4,5,5,yes
31,October 2022,A320,Family Leisure,Economy Class,1,2,1,1,2,2,NaN,no
32,October 2022,Boeing 787-10,Couple Leisure,Business Class,5,4,4,5,5,4,5,yes
33,September 2022,A380,Solo Leisure,Business Class,3,1,1,4,3,1,NaN,no
34,October 2022,A380,Solo Leisure,Economy Class,3,5,5,3,2,5,NaN,yes
35,October 2022,A380,Couple Leisure,Economy Class,1,1,3,3,1,1,5,no
36,October 2022,NaN,Solo Leisure,Economy Class,2,2,1,3,4,1,NaN,no
37,October 2022,Boeing 777-300,Couple Leisure,Economy Class,3,4,3,4,4,4,NaN,yes
38,October 2022,Boeing 777,Couple Leisure,Business Class,5,5,3,2,4,3,NaN,yes
39,October 2022,A380,Solo Leisure,Business Class,4,4,4,2,4,3,2,yes
40,October 2022,A320neo,Couple Leisure,Economy Class,1,1,1,NaN,4,1,1,no
41,October 2022,Boeing 777,Solo Leisure,Business Class,5,5,5,5,5,4,4,yes
42,October 2022,A321neo,Business,Economy Class,2,4,1,NaN,3,1,2,no
43,September 2022,A380,Couple Leisure,Economy Class,2,4,2,4,4,3,NaN,yes
44,September 2022,A319,Couple Leisure,Business Class,4,4,4,NaN,3,4,NaN,yes
45,September 2022,A320,Couple Leisure,Business Class,4,5,4,NaN,3,4,NaN,yes
46,September 2022,A320-200,Solo Leisure,Business Class,1,3,2,1,3,2,NaN,no
47,September 2022,Boeing 777-200,Solo Leisure,Business Class,5,4,4,4,5,5,NaN,yes
48,June 2022,NaN,Business,Economy Class,2,2,NaN,NaN,1,1,NaN,no
49,September 2022,NaN,Solo Leisure,Premium Economy,5,5,5,5,5,5,5,yes
50,September 2022,NaN,Solo Leisure,Economy Class,5,5,5,5,5,5,5,yes
51,September 2022,NaN,Solo Leisure,Economy Class,1,3,2,5,4,2,5,yes
52,September 2022,A320,Couple Leisure,Economy Class,4,5,1,NaN,3,3,NaN,yes
53,September 2022,NaN,Business,Business Class,1,1,1,NaN,1,1,NaN,no
54,September 2022,NaN,Couple Leisure,Economy Class,4,1,2,1,1,1,1,no
55,August 2022,Boeing 777,Family Leisure,Economy Class,4,4,3,NaN,1,2,NaN,no
56,September 2022,NaN,Couple Leisure,Business Class,3,5,5,1,4,3,1,yes
57,November 2021,NaN,Business,Economy Class,NaN,NaN,NaN,NaN,NaN,1,NaN,no
58,August 2022,NaN,Couple Leisure,Economy Class,3,2,1,2,4,3,NaN,no
59,April 2022,NaN,Couple Leisure,Premium Economy,2,1,2,3,1,1,NaN,no
60,August 2022,NaN,Couple Leisure,Economy Class,3,5,4,NaN,2,4,NaN,yes
61,August 2022,Boeing 787,Couple Leisure,Economy Class,5,5,5,5,3,4,NaN,yes
62,June 2022,NaN,Solo Leisure,Business Class,1,1,1,1,1,1,NaN,no
63,June 2022,NaN,Solo Leisure,Economy Class,1,2,1,NaN,1,1,NaN,no
